d,mstr,mstx,btc,strc,bps
2024-09-18,132.67,194.6,60062.36,,0.001075039464
2024-09-19,144.66,225.9,63292.32,,0.001075039464
2024-09-20,144.78,225.4,62823.8,,0.001092351224
2024-09-23,149.97,239.1,63303.59,,0.001092351224
2024-09-24,153.88,250.2,64316.33,,0.001092351224
2024-09-25,151.94,244.4,63168.1,,0.001092351224
2024-09-26,165.98,283.0,64750.05,,0.001092351224
2024-09-27,176.22,314.5,65690.01,,0.001092351224
2024-09-30,168.6,290.1,63453.5,,0.001092351224
2024-10-01,162.69,271.7,61720.09,,0.001092351224
2024-10-02,164.64,277.5,60175.88,,0.001092351224
2024-10-03,163.41,274.4,61047.96,,0.001092351224
2024-10-04,176.51,311.6,62395.7,,0.001092351224
2024-10-07,186.09,341.0,63346.47,,0.001092351224
2024-10-08,192.2,360.1,62208.73,,0.001092351224
2024-10-09,188.91,350.0,60984.15,,0.001092351224
2024-10-10,183.34,332.2,59689.07,,0.001092351224
2024-10-11,212.59,423.3,63084.94,,0.001092351224
2024-10-14,201.67,385.4,65922.28,,0.001092351224
2024-10-15,194.31,360.8,66976.7,,0.001092351224
2024-10-16,194.09,360.2,67741.09,,0.001092351224
2024-10-17,193.42,358.0,66822.01,,0.001092351224
2024-10-18,215.86,428.6,68606.95,,0.001092351224
2024-10-21,219.05,439.8,67749.96,,0.001092351224
2024-10-22,219.7,442.0,67474.05,,0.001092351224
2024-10-23,213.95,422.1,66375.54,,0.001092351224
2024-10-24,235.89,496.7,68247.05,,0.001092351224
2024-10-25,234.34,491.4,66721.38,,0.001092351224
2024-10-28,255.34,567.5,69600.55,,0.001092351224
2024-10-29,258.24,577.3,72520.77,,0.001092351224
2024-10-30,247.31,529.5,71835.64,,0.001092351224
2024-10-31,244.5,517.1,69967.27,,0.00106898769
2024-11-01,229.71,453.3,69233.02,,0.00106898769
2024-11-04,222.99,426.8,67285.69,,0.00106898769
2024-11-05,227.8,443.1,69440.12,,0.00106898769
2024-11-06,257.81,559.1,76191.23,,0.00106898769
2024-11-07,270.81,614.7,76595.79,,0.00106898769
2024-11-08,270.42,612.1,76751.16,,0.00106898769
2024-11-11,340.0,926.1,87063.15,,0.001150680101
2024-11-12,356.59,1019.8,89506.34,,0.001150680101
